,match_id,team_1,team_2,match_date,season_id,venue,toss_winner,toss_decision,win_type,win_margin,outcome_type,match_winner,man_of_the_match
0,419136,6,1,2010-03-29,3,Feroz Shah Kotla,6,bat,runs,40,Result,6,187
1,981004,2,4,2016-05-18,9,M Chinnaswamy Stadium,4,field,runs,82,Result,2,8
2,980992,2,13,2016-05-14,9,M Chinnaswamy Stadium,13,field,runs,144,Result,2,110
3,980912,2,11,2016-12-04,9,M Chinnaswamy Stadium,11,field,runs,45,Result,2,110
4,829790,2,4,2015-06-05,8,M Chinnaswamy Stadium,4,field,runs,138,Result,2,162
5,829750,2,3,2015-04-22,8,M Chinnaswamy Stadium,2,field,runs,27,Result,3,21
6,829742,2,7,2015-04-19,8,M Chinnaswamy Stadium,2,field,runs,18,Result,7,50
7,734010,2,6,2014-05-13,7,M Chinnaswamy Stadium,6,field,runs,16,Result,2,27
8,734038,4,5,2014-05-23,7,Punjab Cricket Association Stadium Mohali,5,field,runs,16,Result,4,100
9,598061,4,11,2013-11-05,6,Punjab Cricket Association Stadium Mohali,4,field,runs,30,Result,11,17
10,598021,4,1,2013-04-16,6,Punjab Cricket Association Stadium Mohali,1,field,runs,4,Result,4,120
11,501256,4,7,2011-10-05,4,Punjab Cricket Association Stadium Mohali,7,field,runs,76,Result,4,302
12,501225,4,5,2011-04-21,4,Punjab Cricket Association Stadium Mohali,5,field,runs,48,Result,4,100
13,419129,4,5,2010-03-24,3,Punjab Cricket Association Stadium Mohali,4,field,runs,31,Result,5,230
14,336024,4,5,2008-05-28,1,Punjab Cricket Association Stadium Mohali,5,field,runs,41,Result,4,100
15,335996,4,7,2008-04-25,1,Punjab Cricket Association Stadium Mohali,7,field,runs,66,Result,4,26
16,981020,11,1,2016-05-25,9,Feroz Shah Kotla,1,field,runs,22,Result,11,163
17,980956,6,1,2016-04-30,9,Feroz Shah Kotla,1,field,runs,27,Result,6,408
18,980950,6,13,2016-04-27,9,Feroz Shah Kotla,6,field,runs,1,Result,13,350
19,980938,6,7,2016-04-23,9,Feroz Shah Kotla,7,field,runs,10,Result,6,351
20,829752,6,7,2015-04-23,8,Feroz Shah Kotla,7,field,runs,37,Result,6,393
21,598059,6,2,2013-10-05,6,Feroz Shah Kotla,6,field,runs,4,Result,2,346
22,548377,6,2,2012-05-17,5,Feroz Shah Kotla,6,field,runs,21,Result,2,162
23,548347,6,7,2012-04-27,5,Feroz Shah Kotla,7,field,runs,37,Result,6,41
24,548338,6,10,2012-04-21,5,Feroz Shah Kotla,6,field,runs,20,Result,10,1
25,501235,6,1,2011-04-28,4,Feroz Shah Kotla,6,field,runs,17,Result,1,87
26,501228,6,4,2011-04-23,4,Feroz Shah Kotla,4,field,runs,29,Result,6,187
27,419119,6,7,2010-03-17,3,Feroz Shah Kotla,6,field,runs,98,Result,7,133
