,player_id,player_name,dob,batting_hand,bowling_skill,country_name
0,35,RA Jadeja,1988-06-12,Left-hand bat,Slow left-arm orthodox,India
1,429,BB Sran,1992-10-12,Left-hand bat,Left-arm medium,India
2,422,KC Cariappa,1994-04-13,Right-hand bat,Legbreak,India
3,465,DL Chahar,1992-07-08,Right-hand bat,Right-arm medium,India
4,402,SN Khan,1997-10-27,Right-hand bat,Legbreak,India
5,29,IK Pathan,1984-10-27,Left-hand bat,Left-arm medium-fast,India
6,344,AS Rajpoot,1993-04-12,Right-hand bat,Right-arm medium,India
7,232,UT Yadav,1987-10-25,Right-hand bat,Right-arm fast-medium,India
8,73,A Nehra,1979-04-29,Right-hand bat,Left-arm medium-fast,India
9,342,R Shukla,1990-08-28,Right-hand bat,Right-arm medium,India
10,455,V Shankar,1991-01-26,Right-hand bat,Right-arm medium,India
11,270,S Aravind,1984-08-04,Left-hand bat,Left-arm medium-fast,India
12,442,RA Shaikh,1985-12-06,Left-hand bat,Left-arm medium,India
13,160,Kamran Khan,1991-10-03,Left-hand bat,Left-arm medium-fast,India
14,273,SB Wagh,1988-09-10,Left-hand bat,Left-arm medium-fast,India
15,347,Mohammed Shami,1990-03-09,Right-hand bat,Right-arm fast-medium,India
16,17,PA Patel,1985-09-03,Left-hand bat,Right-arm medium,India
17,116,PJ Sangwan,1990-05-11,Right-hand bat,Left-arm medium,India
18,432,S Kaushik,1995-07-09,Right-hand bat,Slow left-arm chinaman,India
19,368,S Kaul,1990-05-19,Right-hand bat,Right-arm medium,India
20,440,RR Bose,1979-02-27,Right-hand bat,Right-arm fast-medium,India
21,167,PC Valthaty,1983-07-12,Right-hand bat,Right-arm medium,India
22,367,Sandeep Sharma,1993-05-18,Right-hand bat,Right-arm medium,India
23,170,Yashpal Singh,1981-11-27,Right-hand bat,Right-arm medium,India
24,172,AA Bilakhia,1986-05-31,Right-hand bat,Right-arm medium,India
25,469,T Mishra,1986-12-22,Right-hand bat,Right-arm fast-medium,India
26,382,YS Chahal,1990-07-23,Right-hand bat,Legbreak googly,India
27,392,Karanveer Singh,1987-08-11,Right-hand bat,Legbreak googly,India
28,87,MK Tiwary,1985-11-14,Right-hand bat,Legbreak googly,India
29,173,AN Ghosh,1986-10-19,Right-hand bat,Right-arm medium,India
30,239,KB Arun Karthik,1986-02-15,Right-hand bat,Legbreak googly,India
31,333,P Awana,1986-07-19,Right-hand bat,Right-arm medium,India
32,257,IR Jaggi,1989-01-27,Right-hand bat,Legbreak googly,India
33,332,K Upadhyay,1986-06-18,Right-hand bat,Right-arm medium,India
34,166,KV Sharma,1987-10-23,Left-hand bat,Legbreak googly,India
35,306,SPD Smith,1989-02-06,Right-hand bat,Legbreak googly,India
36,169,AS Raut,1987-03-03,Right-hand bat,Legbreak googly,India
37,152,A Mukund,1990-06-01,Left-hand bat,Legbreak googly,India
38,112,DB Ravi Teja,1987-05-09,Right-hand bat,Legbreak googly,India
39,124,A Kumble,1970-10-17,Right-hand bat,Legbreak googly,India
40,418,M Ashwin,1990-08-09,Right-hand bat,Legbreak googly,India
41,386,Imran Tahir,1979-03-27,Right-hand bat,Legbreak googly,India
42,393,SS Iyer,1994-06-12,Right-hand bat,Legbreak googly,India
43,412,P Sahu,1985-08-21,Right-hand bat,Legbreak googly,India
44,95,DB Das,1986-09-22,Right-hand bat,Legbreak googly,India
45,330,AP Majumdar,1984-04-30,Right-hand bat,Legbreak googly,India
46,462,Kuldeep Yadav,1994-12-14,Left-hand bat,Slow left-arm chinaman,India
47,245,AP Dole,1987-09-10,Right-hand bat,Right-arm medium-fast,India
48,266,AL Menaria,1990-10-29,Left-hand bat,Slow left-arm orthodox,India
49,445,AA Kazi,1989-09-29,Left-hand bat,Slow left-arm orthodox,India
50,264,Sunny Singh,1986-12-18,Right-hand bat,Right-arm medium-fast,India
51,126,MM Patel,1983-12-07,Right-hand bat,Right-arm medium-fast,India
52,356,R Dhawan,1990-02-19,Right-hand bat,Right-arm medium-fast,India
53,400,HH Pandya,1993-11-10,Right-hand bat,Right-arm medium-fast,India
54,249,S Sriram,1976-02-21,Left-hand bat,Slow left-arm orthodox,India
55,12,B Akhil,1977-07-10,Right-hand bat,Right-arm medium-fast,India
